id,code,gather_name,name,period,alias_name,city,city_id,district,district_id,zone,block_id,address,geo_point,geo_fence,is_within,status,created_at,updated_at,deleted_at,distance,geo_point_address,geo_point_name,address_point,name_point,confidence,construction_confidence,nearest,recover,community_type,mark_status,sync_tag,clean_status,is_residential,longitude,latitude,geo_point_name_longitude,geo_point_name_latitude,cre_ts,cre_user,upd_ts,upd_user
10569,31011500811,,环球金融中心,,,上海市,1,浦东新区,310115,陆家嘴,1000904,世纪大道100号,POINT(121.5136524 31.24154249),"MULTIPOLYGON(((121.51323 31.241616,121.515359 31.241014,121.515673 31.239015,121.513616 31.238514,121.513248 31.239996,121.513203 31.241609,121.51323 31.241616)))",1,1,1505902058,1537234989,0,0,POINT(121.51443399317 31.240164588847),null,,,1166,4,-1,0,,1,1,2,0,121.5136524,31.24154249,null,null,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
10571,31011500812,,东园一村,,,上海市,1,浦东新区,310115,陆家嘴,1000904,东园一村101-139号,POINT(121.5187815 31.23814613),"MULTIPOLYGON(((121.518212 31.238102,121.518401 31.23757,121.518424 31.236883,121.520288 31.237253,121.520907 31.237458,121.520544 31.238222,121.519874 31.237913,121.519322 31.237859,121.518913 31.237732,121.518698 31.238264,121.518212 31.238102)))",1,1,1505902058,1537234989,0,0,POINT(121.52045928755 31.238165248263),POINT(121.518755 31.238189),,,1199,1030,-1,0,,1,1,6,1,121.5187815,31.23814613,121.518755,31.238189,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
10725,31011500830,,乳山二村,,,上海市,1,浦东新区,310115,陆家嘴,1000904,乳山路86弄乳山路70号乳山路74号乳山路76号乳山路82号乳山路84号,POINT(121.5249715 31.23927782),"MULTIPOLYGON(((121.524922 31.239301,121.524993 31.239243,121.525007 31.239347,121.524922 31.239301)))",1,1,1505902058,1537234989,0,0,POINT(121.53008828181 31.24191885226),POINT(121.524736 31.239088),,,1195,1026,-1,0,,1,1,2,1,121.5249715,31.23927782,121.524736,31.239088,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
11236,31011500907,,昌邑小区,,,上海市,1,浦东新区,310115,陆家嘴,1000904,浦东大道307弄,POINT(121.522705 31.245186),"MULTIPOLYGON(((121.522691 31.246908,121.523418 31.24712,121.523841 31.245797,121.523001 31.245561,121.522924 31.245612,121.522839 31.24594,121.522691 31.246908)))",1,1,1505902058,1537234990,0,0,POINT(121.52325670882 31.246269981155),POINT(121.523238 31.246321),浦东大道252号,,1162,1026,-1,0,,1,1,2,1,121.522705,31.245186,121.523238,31.246321,2018-11-07 00:57:51,dw_etl,2018-11-07 00:57:51,dw_etl
11312,31011500914,,时代金融中心,,,上海市,1,浦东新区,310115,陆家嘴,1000904,银城中路68号,POINT(121.5133081 31.24694869),"MULTIPOLYGON(((121.512513 31.247091,121.51303 31.246424,121.513241 31.246412,121.513793 31.246717,121.513281 31.247504,121.512513 31.247091)))",1,1,1505902058,1537234991,0,0,POINT(121.5132145677 31.246371180863),POINT(121.51313 31.247015),银城中路68号,,1167,0,-1,0,,1,1,2,0,121.5133081,31.24694869,121.51313,31.247015,2018-11-07 00:57:51,dw_etl,2018-11-07 00:57:51,dw_etl
11357,31011500923,,天科苑,,,上海市,1,浦东新区,310115,陆家嘴,1000904,浦东南路1550弄,POINT(121.524164 31.22628),"MULTIPOLYGON(((121.523344 31.226264,121.5233468790205 31.226249711527913,121.523335 31.226248,121.523344 31.226264)),((121.5233468790205 31.226249711527913,121.524036 31.226349,121.524979 31.226603,121.525078 31.226163,121.523425 31.225862,121.5233468790205 31.226249711527913)))",1,1,1505902058,1537234991,0,0,POINT(121.52409407329 31.226512645212),null,浦东南路1550号,蔚蓝海岸天科苑,1195,1026,-1,0,,1,1,2,1,121.524164,31.22628,null,null,2018-11-07 00:57:51,dw_etl,2018-11-07 00:57:51,dw_etl
11371,31011500927,,船舶大厦,,中国船舶大厦(搜房),上海市,1,浦东新区,310115,陆家嘴,1000904,浦东大道1号,POINT(121.5165794 31.24561913),"MULTIPOLYGON(((121.516786 31.244538,121.517316 31.243782,121.51834 31.244168,121.517981 31.244893,121.516786 31.244538)))",1,1,1505902058,1537234991,0,0,POINT(121.51755111329 31.244465395937),null,浦东南路335号,,1163,0,-1,0,,1,1,2,0,121.5165794,31.24561913,null,null,2018-11-07 00:57:51,dw_etl,2018-11-07 00:57:51,dw_etl
11443,31011500940,,东明新村,,,上海市,1,浦东新区,310115,陆家嘴,1000904,浦电路62弄,POINT(121.5245904 31.223443),"MULTIPOLYGON(((121.523252 31.223334,121.523539 31.222485,121.524285 31.22274,121.524483 31.222416,121.524743 31.222477,121.524321 31.223659,121.523234 31.223396,121.523252 31.223311,121.523252 31.223334)))",1,1,1505902058,1537234991,0,0,POINT(121.52427800044 31.223907865606),POINT(121.523553 31.22306),浦东南路1700弄-1-3号,东建大楼,1195,1154,-1,0,,1,1,2,1,121.5245904,31.223443,121.523553,31.22306,2018-11-07 00:57:51,dw_etl,2018-11-07 00:57:51,dw_etl
11522,31011500951,,西霞路25号,,,上海市,1,浦东新区,310115,陆家嘴,1000904,栖霞路25号,POINT(121.52066 31.241152),"MULTIPOLYGON(((121.52062 31.24119,121.520682 31.241102,121.520691 31.241218,121.52062 31.24119)))",1,1,1505902058,1537234991,0,0,POINT(121.19524925076 31.106737140528),null,栖霞路17-4,招远小区,10,1026,-1,0,,1,1,2,1,121.52066,31.241152,null,null,2018-11-07 00:57:51,dw_etl,2018-11-07 00:57:51,dw_etl
11668,31011500974,,谢家宅小区,,,上海市,1,浦东新区,310115,陆家嘴,1000904,浦电路48弄浦电路44号,POINT(121.524367 31.223889),"MULTIPOLYGON(((121.522999 31.224205,121.523188 31.223449,121.525407 31.22402,121.525398 31.224325,121.525362 31.224514,121.524895 31.224402,121.52476 31.224634,121.524666 31.224634,121.524621 31.224962,121.524019 31.224865,121.523862 31.224808,121.523889 31.225055,121.523803 31.22524,121.523413 31.225086,121.523525 31.224788,121.523448 31.224754,121.523579 31.224387,121.52308 31.224232,121.522999 31.224205)))",1,1,1505902058,1537234991,0,0,POINT(121.52369407311 31.223646236398),POINT(121.524205 31.224306),浦电路56号,谢家宅小区,1195,1026,-1,0,,1,1,2,1,121.524367,31.223889,121.524205,31.224306,2018-11-07 00:57:51,dw_etl,2018-11-07 00:57:51,dw_etl
